"Population estimates, July 1, by census division, 2016 boundaries 1 2 3 4 5 6"
"Frequency: Annual"
"Table: 17-10-0139-01"
"Release date: 2023-01-11"
"Geography: Canada, Province or territory, Census division"
""
""

"Sex","Both sexes",,,,,,,,,,,,,,,,,,,,,
"Age group 7","All ages",,,,,,,,,,,,,,,,,,,,,
"Geography","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
,"Persons",,,,,,,,,,,,,,,,,,,,,
"Canada","31,020,902","31,360,079","31,644,028","31,940,655","32,243,753","32,571,174","32,889,025","33,247,118","33,628,895","34,004,889","34,339,328","34,714,222","35,082,954","35,437,435","35,702,908","36,109,487","36,545,236","37,065,084","37,601,230","38,007,166","38,226,498","38,929,902"
"Alberta","3,058,108","3,128,429","3,183,065","3,238,668","3,321,768","3,421,434","3,514,147","3,595,856","3,678,996","3,732,082","3,789,030","3,874,548","3,981,011","4,083,648","4,144,491","4,196,061","4,241,100","4,298,275","4,362,576","4,416,682","4,443,773","4,543,111"
"Division No. 1, Alberta","69,153","70,377","71,528","73,174","75,151","77,122","78,864","80,079","80,914","81,050","81,344","82,299","83,100","83,767","84,438","84,598","84,831","85,201","85,415","85,576","85,598","86,580"
"Division No. 2, Alberta","137,367","139,094","140,613","142,134","144,208","147,553","151,971","155,168","157,835","160,510","162,039","164,123","166,601","169,720","172,030","174,729","176,149","178,434","180,801","182,670","183,687","187,204"
"Division No. 3, Alberta","38,498","38,278","38,343","38,140","38,392","38,914","39,361","39,572","39,676","39,675","39,606","39,687","39,738","39,998","39,797","39,891","40,022","40,028","39,991","39,872","39,817","40,195"
"Division No. 4, Alberta","11,536","11,397","11,120","11,067","10,936","10,880","10,909","10,760","10,692","10,564","10,339","10,081","10,079","10,022","9,944","9,749","9,722","9,686","9,549","9,488","9,397","9,385"
"Division No. 5, Alberta","48,824","49,548","50,109","50,464","51,280","52,760","53,847","54,297","54,686","54,787","54,928","55,330","56,000","56,611","56,836","57,047","57,169","57,378","57,528","57,564","57,663","58,278"
"Division No. 6, Alberta","1,048,974","1,081,239","1,105,222","1,130,936","1,168,333","1,208,971","1,243,482","1,279,058","1,315,602","1,338,281","1,362,976","1,401,759","1,448,407","1,492,107","1,521,073","1,547,138","1,567,822","1,593,174","1,624,896","1,654,011","1,669,804","1,720,622"
"Division No. 7, Alberta","41,363","40,957","40,685","40,616","40,896","41,105","41,463","41,655","41,718","41,540","41,446","41,857","42,157","42,443","42,542","42,510","42,164","41,861","41,683","41,444","41,134","41,008"
"Division No. 8, Alberta","157,160","161,157","164,992","169,119","175,123","182,003","186,582","189,705","192,683","194,104","196,215","201,258","206,330","210,699","213,801","215,353","216,775","219,107","220,947","221,853","222,460","225,441"
"Division No. 9, Alberta","20,069","20,268","20,404","20,496","20,645","21,049","21,575","21,817","21,922","21,850","21,952","21,374","21,615","21,701","21,570","21,375","21,270","21,166","21,038","20,833","20,922","21,107"
"Division No. 10, Alberta","85,125","86,121","87,018","87,436","88,333","89,501","91,970","93,294","94,470","95,144","95,936","96,844","98,177","99,496","99,936","99,670","99,349","99,371","99,386","99,082","98,764","99,760"
"Division No. 11, Alberta","1,002,509","1,025,411","1,042,136","1,058,750","1,084,450","1,116,633","1,147,161","1,175,318","1,207,093","1,227,854","1,249,865","1,278,541","1,316,952","1,357,714","1,383,736","1,410,240","1,434,998","1,459,678","1,486,774","1,510,311","1,522,579","1,558,704"
"Division No. 12, Alberta","62,761","63,286","63,930","64,268","65,226","66,136","67,174","68,205","68,711","69,262","69,781","70,670","71,966","73,210","73,100","72,696","72,298","71,947","71,728","71,356","71,124","71,366"
"Division No. 13, Alberta","65,536","66,279","67,159","67,215","67,836","69,047","70,274","70,923","71,191","71,079","71,006","71,349","72,098","72,343","72,453","72,610","71,803","71,578","70,917","70,244","69,994","69,984"
"Division No. 14, Alberta","27,486","27,623","27,679","27,880","28,325","28,842","29,187","29,453","29,600","29,438","29,584","29,960","30,082","30,380","30,238","30,011","29,906","29,743","29,836","29,655","29,423","29,428"
"Division No. 15, Alberta","34,887","35,036","35,169","35,151","35,109","35,553","36,306","37,116","37,715","38,279","37,909","38,407","39,192","39,852","39,703","40,422","40,758","40,782","40,767","40,810","40,400","40,994"
"Division No. 16, Alberta","44,235","47,066","49,592","51,598","53,065","55,485","59,443","62,115","64,935","67,824","71,327","74,843","78,892","81,048","79,668","75,968","74,131","75,019","75,921","76,466","76,190","77,091"
"Division No. 17, Alberta","59,312","59,927","60,417","60,970","61,268","61,731","62,743","63,506","63,803","63,766","63,547","63,516","63,907","64,304","63,771","63,259","63,284","63,215","63,379","63,093","63,163","63,685"
"Division No. 18, Alberta","14,670","14,597","14,473","14,326","14,425","14,825","14,945","14,883","14,917","15,028","15,044","15,225","15,529","15,412","15,251","14,794","14,627","14,680","14,716","14,689","14,573","14,602"
"Division No. 19, Alberta","88,643","90,768","92,476","94,928","98,767","103,324","106,890","108,932","110,833","112,047","114,186","117,425","120,189","122,821","124,604","124,001","124,022","126,227","127,304","127,665","127,081","127,677"
"British Columbia","4,076,950","4,100,564","4,124,482","4,155,651","4,196,062","4,241,794","4,290,984","4,349,336","4,410,506","4,465,546","4,502,104","4,566,769","4,630,077","4,707,103","4,776,388","4,859,250","4,929,384","5,010,476","5,094,796","5,155,495","5,202,378","5,319,324"
"East Kootenay, British Columbia","58,621","58,143","57,637","57,102","56,792","56,902","57,444","58,060","58,276","58,151","57,743","58,613","59,540","60,723","61,878","62,775","63,280","64,142","65,228","65,796","66,515","67,454"
"Central Kootenay, British Columbia","59,374","58,458","57,845","57,563","57,343","57,204","57,739","58,436","58,838","59,244","59,348","59,217","59,495","59,943","60,796","61,753","62,324","62,992","63,484","63,978","64,198","64,767"
"Kootenay Boundary, British Columbia","33,130","32,452","31,985","31,525","31,551","31,428","31,608","31,721","31,712","31,727","31,530","31,790","31,736","31,845","32,035","32,591","32,839","33,184","33,373","33,414","33,786","34,080"
"Okanagan-Similkameen, British Columbia","79,905","80,243","80,532","81,124","81,282","81,135","81,626","82,118","81,918","81,664","81,752","81,296","81,664","82,848","84,091","85,829","86,943","88,443","89,387","90,066","90,940","91,749"
"Fraser Valley, British Columbia","247,832","250,465","253,568","258,185","262,025","265,572","269,584","273,819","277,581","281,345","283,966","287,821","291,210","295,062","300,914","309,442","316,680","324,988","331,511","335,317","339,701","345,588"
"Greater Vancouver, British Columbia","2,074,540","2,098,322","2,115,789","2,133,439","2,158,895","2,188,847","2,217,187","2,253,640","2,301,223","2,344,223","2,374,754","2,419,034","2,459,496","2,507,464","2,544,513","2,582,207","2,616,913","2,658,594","2,709,285","2,743,774","2,764,939","2,842,720"
"Capital, British Columbia","340,081","342,504","344,912","347,245","350,590","355,050","357,049","359,585","363,445","366,716","367,617","374,298","380,835","386,307","392,200","400,562","406,681","413,016","419,827","425,818","430,484","439,950"
"Cowichan Valley, British Columbia","75,055","75,265","76,132","77,177","78,022","78,864","79,415","80,296","80,847","81,306","81,567","81,897","82,588","83,868","85,081","86,849","88,333","89,475","90,230","90,910","91,646","92,756"
"Nanaimo, British Columbia","132,483","133,848","135,604","138,142","140,284","142,109","143,672","145,455","146,500","147,895","148,912","150,516","152,325","154,934","157,944","161,435","164,533","167,356","169,988","171,693","173,599","176,382"
"Alberni-Clayoquot, British Columbia","31,598","31,253","31,289","31,321","31,569","31,479","31,430","31,562","31,699","31,749","31,623","31,444","31,335","31,503","31,743","32,287","32,579","32,978","33,516","33,856","34,322","34,867"
"Strathcona, British Columbia","42,625","42,259","42,286","42,654","43,000","43,252","43,558","43,909","43,894","43,907","43,972","44,122","44,355","44,800","45,418","46,448","47,266","48,164","48,794","49,391","50,056","50,807"
"Comox Valley, British Columbia","57,558","57,655","58,288","59,366","60,380","60,956","61,890","62,876","63,271","63,821","64,486","65,062","65,336","66,206","67,555","68,935","70,267","71,526","72,663","73,557","74,445","75,484"
"Powell River, British Columbia","20,573","20,223","20,015","19,937","19,974","20,018","20,219","20,303","20,245","20,238","20,131","20,156","20,256","20,371","20,361","20,729","20,859","21,006","21,093","21,246","21,407","21,647"
"Sunshine Coast, British Columbia","26,688","27,081","27,370","27,813","28,223","28,312","28,588","28,948","29,009","29,007","28,976","29,158","29,319","29,837","30,359","30,952","31,268","31,551","31,738","31,894","32,318","32,865"
"Squamish-Lillooet, British Columbia","34,590","35,024","35,415","35,804","35,844","36,470","37,154","38,058","38,981","39,153","39,385","40,484","41,362","42,641","43,367","45,530","46,672","47,227","47,839","48,637","48,739","49,747"
"Thompson-Nicola, British Columbia","124,320","123,617","123,623","124,091","124,859","125,794","127,925","129,890","130,685","130,947","130,925","131,630","133,018","134,284","135,681","138,136","140,629","144,220","146,077","147,301","147,920","150,365"
"Central Okanagan, British Columbia","154,213","156,067","158,546","161,296","163,859","167,112","171,012","175,192","178,379","181,491","183,607","186,128","189,123","193,255","198,303","203,998","208,476","213,831","218,602","223,531","229,005","235,472"
"North Okanagan, British Columbia","76,342","76,570","77,192","77,918","79,033","79,250","80,248","81,474","82,134","82,442","82,469","83,136","83,563","84,722","85,772","87,523","88,745","89,813","90,947","92,195","93,275","94,903"
"Columbia-Shuswap, British Columbia","50,202","50,175","50,364","50,421","50,861","51,346","51,748","51,981","51,804","51,681","51,275","51,069","51,299","51,468","52,360","53,426","54,406","55,270","56,188","56,776","57,691","58,878"
"Cariboo, British Columbia","68,233","66,737","65,540","64,647","64,140","63,872","64,294","64,679","64,169","63,796","63,380","63,243","63,280","63,624","63,858","64,293","64,710","65,146","65,381","65,381","65,624","65,855"
"Mount Waddington, British Columbia","13,644","13,189","12,726","12,473","12,297","11,944","11,998","12,023","11,845","11,807","11,720","11,759","11,666","11,691","11,514","11,432","11,507","11,611","11,699","11,676","11,787","11,899"
"Central Coast, British Columbia","3,919","3,791","3,549","3,486","3,402","3,273","3,256","3,241","3,242","3,261","3,285","3,306","3,373","3,360","3,359","3,464","3,485","3,548","3,553","3,578","3,621","3,688"
"Skeena-Queen Charlotte, British Columbia","22,539","21,935","21,387","20,938","20,578","20,170","19,962","19,880","19,670","19,460","19,133","19,058","19,008","18,973","18,950","19,001","19,117","19,218","19,277","19,368","19,506","19,575"
"Kitimat-Stikine, British Columbia","43,257","42,121","41,387","40,749","40,134","39,456","39,184","39,172","39,083","38,610","38,092","38,107","38,458","39,100","39,041","38,959","38,925","39,085","39,479","39,978","40,355","40,880"
"Bulkley-Nechako, British Columbia","42,477","41,476","40,863","40,594","39,856","39,378","39,531","39,739","39,721","39,979","39,917","39,768","39,660","39,663","39,381","39,474","39,458","39,496","39,586","39,527","39,927","40,201"
"Fraser-Fort George, British Columbia","99,139","97,324","95,625","94,923","94,920","95,194","95,714","95,412","94,263","93,943","94,022","94,563","95,686","96,454","97,474","98,862","100,203","101,957","103,131","104,036","103,754","103,861"
"Peace River, British Columbia","57,411","57,671","58,185","58,695","59,281","60,371","61,113","61,230","61,457","61,285","61,798","63,118","64,264","65,422","65,928","65,950","66,195","66,747","67,140","67,135","67,145","67,272"
"Stikine, British Columbia","615","653","635","640","650","653","625","643","632","639","652","665","691","719","741","767","731","736","712","702","710","722"
"Northern Rockies, British Columbia","5,986","6,043","6,193","6,383","6,418","6,383","6,211","5,994","5,983","6,059","6,067","6,311","6,136","6,016","5,771","5,641","5,360","5,156","5,068","4,964","4,963","4,890"
"Yukon","30,158","30,336","30,941","31,455","31,902","32,272","32,554","33,083","33,731","34,596","35,411","36,234","36,521","37,137","37,690","38,547","39,610","40,519","41,362","42,163","43,250","43,789"
"Yukon, Yukon","30,158","30,336","30,941","31,455","31,902","32,272","32,554","33,083","33,731","34,596","35,411","36,234","36,521","37,137","37,690","38,547","39,610","40,519","41,362","42,163","43,250","43,789"
"Northwest Territories","40,845","41,699","42,600","43,306","43,400","43,179","43,372","43,360","43,156","43,285","43,504","43,648","43,805","43,884","44,237","44,649","44,891","44,981","45,070","45,346","45,597","45,605"
"Region 1, Northwest Territories","6,785","6,908","6,895","7,023","7,085","6,979","7,054","6,992","6,986","7,025","6,950","6,863","6,849","6,857","6,809","6,778","6,739","6,736","6,675","6,726","6,739","6,673"
"Region 2, Northwest Territories","2,536","2,572","2,567","2,603","2,611","2,569","2,558","2,526","2,505","2,483","2,431","2,500","2,546","2,552","2,581","2,586","2,544","2,518","2,519","2,513","2,482","2,436"
"Region 3, Northwest Territories","2,641","2,697","2,780","2,836","2,869","2,884","2,889","2,887","2,850","2,876","2,920","2,920","2,909","2,893","2,936","2,925","2,919","2,901","2,776","2,730","2,697","2,679"
"Region 4, Northwest Territories","3,428","3,473","3,533","3,566","3,542","3,450","3,426","3,401","3,377","3,351","3,371","3,373","3,351","3,379","3,337","3,381","3,376","3,345","3,336","3,360","3,355","3,359"
"Region 5, Northwest Territories","7,085","7,201","7,357","7,429","7,386","7,205","7,237","7,238","7,193","7,214","7,291","7,350","7,409","7,414","7,401","7,402","7,356","7,230","7,128","7,024","6,918","6,821"
"Region 6, Northwest Territories","18,370","18,848","19,468","19,849","19,907","20,092","20,208","20,316","20,245","20,336","20,541","20,642","20,741","20,789","21,173","21,577","21,957","22,251","22,636","22,993","23,406","23,637"
"Nunavut","28,133","28,822","29,322","29,857","30,339","30,813","31,395","31,892","32,597","33,352","34,192","34,672","35,337","35,971","36,488","36,975","37,546","38,143","38,592","39,157","39,711","40,526"
"Baffin, Nunavut","15,118","15,547","15,742","16,059","16,308","16,491","16,759","17,004","17,325","17,747","18,080","18,283","18,656","19,032","19,335","19,553","19,834","20,177","20,396","20,683","21,012","21,540"
"Keewatin, Nunavut","7,951","8,067","8,218","8,412","8,554","8,731","8,913","9,062","9,234","9,445","9,788","9,978","10,208","10,396","10,534","10,697","10,907","11,090","11,226","11,408","11,546","11,714"
"Kitikmeot, Nunavut","5,064","5,208","5,362","5,386","5,477","5,591","5,723","5,826","6,038","6,160","6,324","6,411","6,473","6,543","6,619","6,725","6,805","6,876","6,970","7,066","7,153","7,272"




Footnotes:
1,"Population estimates based on the Standard Geographical Classification (SGC) 2016 as delineated in the 2016 Census."
2,"Census division (CD) refers to the general term applying to geographic areas established by provincial or territorial law, which are intermediate geographic areas between the census subdivision and the province or territory. For example, divisions, counties, regional districts, regional municipalities and seven other types of geographic areas are made up of groups of census subdivisions. In Newfoundland and Labrador, Manitoba, Saskatchewan, Alberta, Yukon, Northwest Territories and Nunavut, provincial or territorial law does not provide for these administrative geographic areas. Therefore, CDs have been created by Statistics Canada in cooperation with these provinces or territories (2016 Census Dictionary, catalogue number 98-301-X2016001)."
3,"Postcensal estimates are based on the latest census counts adjusted for census net undercoverage (including adjusment for incompletely enumerated Indian reserves) and for the estimated population growth that occurred since that census. Intercensal estimates are based on postcensal estimates and census counts adjusted of the censuses preceding and following the considered year."
4,"Population estimates as of July 1 are final intercensal up to 2015, final postcensal for 2016 to 2020, updated postcensal for 2021 and preliminary postcensal for 2022."
5,"The population growth, which is used to calculate population estimates of census divisions (table 17100139), is comprised of the components of population growth (table 17100140)."
6,"This table replaces table 17100084."
7,"Age on July 1."



"How to cite: Statistics Canada. Table 17-10-0139-01  Population estimates, July 1, by census division, 2016 boundaries"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710013901
