"Population estimates, July 1, by census division, 2016 boundaries 1 2 3 4 5 6"
"Frequency: Annual"
"Table: 17-10-0139-01"
"Release date: 2023-01-11"
"Geography: Canada, Province or territory, Census division"
""
""

"Sex","Both sexes",,,,,,,,,,,,,,,,,,,,,
"Age group 7","All ages",,,,,,,,,,,,,,,,,,,,,
"Geography","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
,"Persons",,,,,,,,,,,,,,,,,,,,,
"Canada","31,020,902","31,360,079","31,644,028","31,940,655","32,243,753","32,571,174","32,889,025","33,247,118","33,628,895","34,004,889","34,339,328","34,714,222","35,082,954","35,437,435","35,702,908","36,109,487","36,545,236","37,065,084","37,601,230","38,007,166","38,226,498","38,929,902"
"Les Îles-de-la-Madeleine, Quebec","13,055","13,004","13,038","13,079","13,141","13,158","13,093","13,048","12,919","12,933","12,857","12,777","12,677","12,579","12,510","12,508","12,490","12,555","12,645","12,777","13,067","13,211"
"Le Rocher-Percé, Quebec","19,604","19,306","19,053","18,872","18,654","18,473","18,323","18,135","18,064","18,101","18,053","17,900","17,743","17,604","17,395","17,311","17,268","17,175","17,086","17,091","17,264","17,251"
"La Côte-de-Gaspé, Quebec","18,856","18,464","18,114","18,022","17,923","17,955","18,015","18,048","18,042","18,068","18,086","17,977","17,753","17,511","17,312","17,166","17,279","17,484","17,486","17,441","17,683","17,645"
"La Haute-Gaspésie, Quebec","12,931","12,813","12,650","12,586","12,465","12,360","12,255","12,194","12,165","12,174","12,122","12,011","11,841","11,656","11,510","11,310","11,217","11,125","10,964","10,968","11,133","11,192"
"Bonaventure, Quebec","18,598","18,348","18,322","18,221","18,208","17,984","17,972","17,900","18,002","18,007","18,088","18,137","17,930","17,861","17,784","17,664","17,597","17,570","17,579","17,731","17,966","18,113"
"Avignon, Quebec","15,540","15,520","15,421","15,398","15,344","15,248","15,213","15,209","15,269","15,300","15,312","15,235","15,165","14,997","14,932","14,781","14,686","14,706","14,696","14,681","14,902","14,991"
"La Matapédia, Quebec","20,265","20,003","19,746","19,610","19,446","19,251","19,208","19,005","18,903","18,753","18,662","18,542","18,420","18,204","18,070","17,935","17,772","17,644","17,638","17,650","17,811","17,954"
"Matane, Quebec","22,907","22,648","22,431","22,392","22,263","22,334","22,334","22,236","22,042","21,978","21,891","21,876","21,720","21,542","21,311","21,312","21,155","21,051","20,902","20,894","20,803","21,086"
"La Mitis, Quebec","19,671","19,605","19,423","19,476","19,472","19,380","19,367","19,322","19,162","19,160","19,017","18,832","18,671","18,480","18,315","18,289","18,156","18,056","18,027","18,076","18,185","18,316"
"Rimouski-Neigette, Quebec","53,292","53,180","53,323","53,380","53,398","53,534","53,806","54,225","54,419","54,871","55,627","56,026","56,167","56,480","56,682","56,869","56,950","57,078","57,475","57,710","58,010","58,389"
"Les Basques, Quebec","10,002","9,817","9,685","9,647","9,572","9,480","9,400","9,278","9,251","9,229","9,156","9,007","8,903","8,848","8,711","8,694","8,658","8,647","8,576","8,597","8,712","8,841"
"Rivière-du-Loup, Quebec","32,436","32,472","32,713","33,021","33,312","33,581","33,914","34,057","34,287","34,434","34,640","34,536","34,566","34,317","34,104","34,073","34,328","34,564","34,806","34,963","35,176","35,365"
"Témiscouata, Quebec","22,812","22,529","22,282","22,057","22,019","21,835","21,535","21,322","21,128","20,896","20,630","20,483","20,209","19,956","19,747","19,568","19,454","19,300","19,245","19,279","19,442","19,615"
"Kamouraska, Quebec","22,907","22,657","22,499","22,470","22,290","22,163","22,002","21,849","21,809","21,780","21,576","21,461","21,470","21,328","21,187","21,062","21,077","20,951","20,861","20,909","20,914","20,941"
"Charlevoix-Est, Quebec","16,927","16,877","16,872","16,722","16,626","16,445","16,381","16,283","16,310","16,339","16,347","16,277","16,140","15,954","15,725","15,521","15,411","15,360","15,303","15,346","15,563","15,763"
"Charlevoix, Quebec","13,419","13,408","13,360","13,315","13,259","13,219","13,257","13,295","13,343","13,380","13,387","13,293","13,171","13,087","13,034","12,947","12,924","12,911","12,967","13,045","13,216","13,565"
"L'Islet, Quebec","19,723","19,474","19,371","19,270","19,111","18,958","18,967","18,769","18,662","18,608","18,595","18,443","18,264","18,062","17,913","17,821","17,781","17,670","17,670","17,696","17,825","17,943"
